bpid,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches,,,,,,,,,,,,,,,,,,,,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches
51962,453284,Blake Parker,2020,35,PHI,RP,13,0,14,282,,,,,,,,,,,,,,,,,,,,453284,Blake Parker,2020,35,PHI,RP,13,0,14.0,282
51962,453284,Blake Parker,2020,35,PHI,SP,1,1,2,33,,,,,,,,,,,,,,,,,,,,453284,Blake Parker,2020,35,PHI,SP,1,1,2.0,33
70271,605483,Blake Snell,2020,27,TB,SP,11,11,50,872,,,,,,,,,,,,,,,,,,,,605483,Blake Snell,2020,27,TB,SP,11,11,50.0,872
102762,642130,Blake Taylor,2020,24,HOU,RP,22,0,20.7,341,,,,,,,,,,,,,,,,,,,,642130,Blake Taylor,2020,24,HOU,RP,22,0,20.7,341
68804,595014,Blake Treinen,2020,32,LAD,RP,27,0,25.7,396,,,,,,,,,,,,,,,,,,,,595014,Blake Treinen,2020,32,LAD,RP,27,0,25.7,396
68710,592833,Bobby Wahl,2020,28,MIL,RP,3,0,2.3,38,,,,,,,,,,,,,,,,,,,,592833,Bobby Wahl,2020,28,MIL,RP,3,0,2.3,38
65809,502202,Brad Boxberger,2020,32,MIA,RP,23,0,18,357,,,,,,,,,,,,,,,,,,,,502202,Brad Boxberger,2020,32,MIA,RP,23,0,18.0,357
58089,542960,Brad Brach,2020,34,NYM,RP,14,0,12.3,255,,,,,,,,,,,,,,,,,,,,542960,Brad Brach,2020,34,NYM,RP,14,0,12.3,255
57938,543272,Brad Hand,2020,30,CLE,RP,23,0,22,362,,,,,,,,,,,,,,,,,,,,543272,Brad Hand,2020,30,CLE,RP,23,0,22.0,362
102632,641745,Brad Keller,2020,24,KC,SP,9,9,54.7,858,,,,,,,,,,,,,,,,,,,,641745,Brad Keller,2020,24,KC,SP,9,9,54.7,858
57086,502748,Brad Peacock,2020,32,HOU,RP,3,0,2.3,59,,,,,,,,,,,,,,,,,,,,502748,Brad Peacock,2020,32,HOU,RP,3,0,2.3,59
103857,623364,Brad Wieck,2020,28,CHC,RP,1,0,1,20,,,,,,,,,,,,,,,,,,,,623364,Brad Wieck,2020,28,CHC,RP,1,0,1.0,20
100510,621078,Brady Lail,2020,26,CHW,RP,1,0,1.3,32,,,,,,,,,,,,,,,,,,,,621078,Brady Lail,2020,26,CHW,RP,1,0,1.3,32
100510,621078,Brady Lail,2020,26,SEA,RP,7,0,15,268,,,,,,,,,,,,,,,,,,,,621078,Brady Lail,2020,26,SEA,RP,7,0,15.0,268
137001,663903,Brady Singer,2020,23,KC,SP,12,12,64.3,1071,,,,,,,,,,,,,,,,,,,,663903,Brady Singer,2020,23,KC,SP,12,12,64.3,1071
70356,571858,Branden Kline,2020,28,BAL,RP,3,0,5,88,,,,,,,,,,,,,,,,,,,,571858,Branden Kline,2020,28,BAL,RP,3,0,5.0,88
107440,669064,Brandon Bailey,2020,25,HOU,RP,5,0,7.3,97,,,,,,,,,,,,,,,,,,,,669064,Brandon Bailey,2020,25,HOU,RP,5,0,7.3,97
109459,656232,Brandon Bielak,2020,24,HOU,RP,6,0,10.3,204,,,,,,,,,,,,,,,,,,,,656232,Brandon Bielak,2020,24,HOU,RP,6,0,10.3,204
109459,656232,Brandon Bielak,2020,24,HOU,SP,6,6,21.7,392,,,,,,,,,,,,,,,,,,,,656232,Brandon Bielak,2020,24,HOU,SP,6,6,21.7,392
68518,592165,Brandon Brennan,2020,28,SEA,RP,5,0,7.3,117,,,,,,,,,,,,,,,,,,,,592165,Brandon Brennan,2020,28,SEA,RP,5,0,7.3,117
46298,445213,Brandon Kintzler,2020,35,MIA,RP,24,0,24.3,343,,,,,,,,,,,,,,,,,,,,445213,Brandon Kintzler,2020,35,MIA,RP,24,0,24.3,343
71349,605335,Brandon Leibrandt,2020,27,MIA,RP,5,0,9,150,,,,,,,,,,,,,,,,,,,,605335,Brandon Leibrandt,2020,27,MIA,RP,5,0,9.0,150
107263,663399,Brandon Waddell,2020,26,PIT,RP,2,0,3.3,49,,,,,,,,,,,,,,,,,,,,663399,Brandon Waddell,2020,26,PIT,RP,2,0,3.3,49
70798,605540,Brandon Woodruff,2020,27,MIL,SP,13,13,73.7,1211,,,,,,,,,,,,,,,,,,,,605540,Brandon Woodruff,2020,27,MIL,SP,13,13,73.7,1211
